Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Gender,Location,Age
626053,39375,GINGERBREAD MAN COOKIE CUTTER,29,02/13/2012 18:22,8.18,10001,United Kingdom,Male,York,69
626053,38428,JUMBO BAG VINTAGE ALPHABET,24,02/13/2012 18:22,0.89,10001,United Kingdom,Male,York,69
602797,35885,CHRISTMAS TREES GIFT WRAP,3,04/02/2012 06:19,9.53,10001,United Kingdom,Male,York,69
602797,34207,RECYCLED ACAPULCO MAGAZINE HOLDER,10,04/02/2012 06:19,4.29,10001,United Kingdom,Male,York,69
602797,33367,GLASS VASE,24,04/02/2012 06:19,7.7,10001,United Kingdom,Male,York,69
604511,33495,RABBIT NIGHT LIGHT,12,05/29/2012 18:29,2.08,10001,United Kingdom,Male,York,69
604511,33818,WORLD WAR 2 GLIDER AEROPLANE,13,05/29/2012 18:29,7.44,10001,United Kingdom,Male,York,69
604511,35017,VINTAGE METAL SIGN,19,05/29/2012 18:29,6.65,10001,United Kingdom,Male,York,69
634197,39372,PINK FLORAL STORAGE BOX,4,02/13/2012 20:01,3.41,10002,United Kingdom,Female,Durham,32
634197,37169,THROW PILLOW,12,02/13/2012 20:01,5.75,10002,United Kingdom,Female,Durham,32